MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,VesselGroup,VesselTypeDetailed,Origin_country,Origin_port,Destination_country,Destination_port,Cargo_type,Total_weight_cargo,Flag
11,2023-12-31 12:02:45,27.2924,-90.9677,0.0,244.3,511.0,CONSTITUTION,IMO0000007,GC 680,90,5.0,53.0,38.0,0.0,90.0,A,Other,"Other Type, all ships of this type",Singapore,Jurong,China,Dalian,General Cargo,100.0,Singapore
111,2023-12-31 10:04:57,27.35364,-94.62528,0.0,300.6,511.0,BOOMVANG,IMO0000001,EB643,90,5.0,47.0,35.0,0.0,90.0,A,Other,"Other Type, all ships of this type",Singapore,Singapore,China,Ningbo-Zhoushan,General Cargo,100.0,Marshall Islands
4061,2023-12-31 23:52:47,27.81627,-97.4185,0.0,0.0,511.0,BOOSTER 9000,IMO0000000,0000000,33,,0.0,0.0,,,B,Other,Dredging or underwater operations,Netherlands,Rotterdam,Japan,Yokohama,General Cargo,100.0,Hong Kong
3381234,2023-12-31 23:59:15,34.71526,-76.70942,0.6,96.7,511.0,ZEEPAARD,IMO0000000,BO12345,36,,0.0,0.0,,,B,Pleasure Craft/Sailing,Sailing,Singapore,Singapore,China,Tianjin,General Cargo,0.43,Other
3660489,2023-12-31 23:55:44,27.37022,-89.92428,0.0,311.0,0.0,NEPTUNE TLP,,WQGV318,90,5.0,,,,99.0,A,Other,"Other Type, all ships of this type",USA,New York,Singapore,Singapore,General Cargo,100.0,Japan
3791472,2023-12-31 18:49:51,26.13176,-92.04032,0.0,328.8,1.0,LUCIUS SPAR,IMO1108561,WQXP40,80,15.0,0.0,0.0,0.0,80.0,A,Tanker,"Tanker, all ships of this type",Saudi Arabia,Yanbu,USA,South Louisiana,Crude Oil,94687.19,Other
36926403,2023-12-31 23:54:18,30.39231,-81.41261,0.0,114.6,285.0,PCU MARINETTE,,NMNE,35,5.0,0.0,0.0,0.0,35.0,A,Military,Military operations,Netherlands,Rotterdam,China,Shanghai,General Cargo,375.6,Malta
103669999,2023-12-31 23:57:14,30.36441,-89.08701,0.0,172.5,511.0,MILADY,IMO0000000,,37,,17.0,5.0,,,B,Pleasure Craft/Sailing,Pleasure Craft,Netherlands,Rotterdam,Japan,Osaka,General Cargo,0.49,Singapore
123456789,2023-12-31 23:56:35,26.11497,-80.10732,0.0,165.5,511.0,ODYSSEY,IMO0000000,ODYSSEY,37,,25.0,10.0,0.0,33.0,B,Pleasure Craft/Sailing,Pleasure Craft,Singapore,Singapore,China,Ningbo-Zhoushan,General Cargo,0.53,Other
129129903,2023-12-31 14:57:29,35.54027,-77.05523,0.0,195.0,195.0,DRAGON FIRE,IMO0000000,,36,,16.0,5.0,,,B,Pleasure Craft/Sailing,Sailing,Japan,Osaka,USA,Seattle,General Cargo,0.36,Other
155017179,2023-12-31 12:38:19,26.27656,-80.08534,0.0,153.9,511.0,0.C.D,IMO0000000,CECE,37,,16.0,4.0,,,B,Pleasure Craft/Sailing,Pleasure Craft,USA,Beaumont,Japan,Nagoya,General Cargo,0.41,Bahamas
205402470,2023-12-31 19:47:25,26.19428,-80.10236,5.1,2.8,511.0,BELLA DONNA,IMO0000000,OQ4024,37,,14.0,4.0,,,B,Pleasure Craft/Sailing,Pleasure Craft,China,Xiamen,Netherlands,Rotterdam,General Cargo,0.65,Hong Kong
205691000,2023-12-31 23:59:45,38.82235,-75.05481,10.1,342.8,342.0,KONTICH,IMO9687502,ONIP,89,0.0,180.0,30.0,8.7,89.0,A,Other,"Tanker, no additional information",Japan,Kobe,China,Hong Kong,General Cargo,100.0,Singapore
205717000,2023-12-31 20:25:53,46.9172,-127.51334,14.0,91.6,91.0,LA TONDA,IMO9748485,ONIY,70,0.0,199.0,,,70.0,A,Cargo,"Cargo, all ships of this type",Japan,Yokohama,USA,Long Beach,General Cargo,18618.08,Marshall Islands
207832820,2023-12-31 23:58:26,25.77178,-80.14134,0.0,182.2,511.0,TWINS,,LZH3282,37,,,,,,B,Pleasure Craft/Sailing,Pleasure Craft,China,Guangzhou,Japan,Tokyo,General Cargo,0.36,Bahamas
209156000,2023-12-31 23:59:15,29.90848,-90.12153,11.4,109.5,109.0,UBC STAVANGER,IMO9287340,P3XJ9,70,0.0,171.0,27.0,10.4,79.0,A,Cargo,"Cargo, all ships of this type",Netherlands,Amsterdam,Japan,Yokohama,General Cargo,13144.36,Panama
209228000,2023-12-31 23:59:16,29.28199,-94.47931,0.0,201.0,182.0,PELAGIC TOPE,IMO9341940,5BFM6,80,1.0,228.0,32.0,11.6,80.0,A,Tanker,"Tanker, all ships of this type",UAE,Abu Dhabi,Saudi Arabia,Dammam,Crude Oil,107449.79,Marshall Islands
209425000,2023-12-31 18:45:02,14.94488,-65.49252,16.1,318.4,321.0,WARNOW BOATSWAIN,IMO9509803,5BMJ3,74,0.0,180.0,25.0,7.7,71.0,A,Tanker,"Cargo, hazardous category D",UAE,Dubai,Saudi Arabia,Jeddah,Crude Oil,171257.4,Singapore
209429000,2023-12-31 23:55:10,49.29349,-123.23409,0.0,188.2,104.0,EVMILOS,IMO9592173,5BCS5,70,1.0,229.0,32.0,9.8,75.0,A,Cargo,"Cargo, all ships of this type",Netherlands,Rotterdam,China,Shenzhen,General Cargo,16045.62,Panama
209444000,2023-12-31 23:59:20,35.00832,-75.20758,8.3,34.3,32.0,CONTSHIP FOX,IMO9507714,5BDA5,70,0.0,148.0,24.0,7.1,70.0,A,Cargo,"Cargo, all ships of this type",China,Dalian,Singapore,Jurong,General Cargo,11886.92,Panama
209470000,2023-12-31 23:59:22,28.8278,-89.42142,13.0,184.5,185.0,MSC BOSPHORUS,IMO9247742,5BDF5,79,0.0,300.0,40.0,12.9,79.0,A,Tanker,"Cargo, no additional information",USA,Beaumont,Russia,St. Petersburg,Crude Oil,100451.43,China
209513000,2023-12-31 23:59:20,26.08805,-80.11619,0.0,239.7,357.0,OCEAN PEARL,IMO9060247,C4BQ2,70,0.0,169.0,27.0,9.8,49.0,A,Cargo,"Cargo, all ships of this type",China,Xiamen,Japan,Tokyo,General Cargo,16147.48,Marshall Islands
209550000,2023-12-31 22:39:22,38.51405,-73.9894,17.2,185.0,185.0,CSCL AMERICA,IMO9285990,P3XP9,70,0.0,334.0,42.0,14.5,70.0,A,Cargo,"Cargo, all ships of this type",USA,Corpus Christi,China,Qingdao,General Cargo,15026.44,China
209641000,2023-12-31 23:58:17,30.1817,-85.733,0.0,204.1,2.0,CAMPECHE BAY,IMO9167980,P3ZF9,70,5.0,89.0,12.0,4.8,70.0,A,Cargo,"Cargo, all ships of this type",Singapore,Singapore,Netherlands,Rotterdam,General Cargo,19561.56,Greece
209697000,2023-12-31 18:36:52,40.05523,-67.44584,13.4,181.0,181.0,CONTSHIP LEO,IMO9403451,5BHD6,74,0.0,148.0,25.0,8.8,74.0,A,Tanker,"Cargo, hazardous category D",Saudi Arabia,Dammam,Russia,Vladivostok,Crude Oil,94548.6,Panama
209705000,2023-12-31 23:59:50,16.94236,-67.10606,14.0,120.6,118.0,CONTSHIP AIR,IMO9364356,5BHG6,71,0.0,148.0,23.0,6.3,71.0,A,Cargo,"Cargo, hazardous category A",Japan,Tokyo,Netherlands,Rotterdam,General Cargo,17481.47,Other
209729000,2023-12-31 14:45:51,26.75143,-80.02346,0.0,287.5,184.0,PROGRESO,IMO9274264,P3ZH9,70,1.0,99.0,16.0,5.9,70.0,A,Cargo,"Cargo, all ships of this type",Japan,Nagoya,Singapore,Singapore,General Cargo,30835.51,Bahamas
209786000,2023-12-31 23:59:34,34.14871,-119.58724,10.3,284.2,283.0,VENUS HORIZON,IMO9604952,5BNP3,70,0.0,234.0,38.0,14.4,79.0,A,Cargo,"Cargo, all ships of this type",China,Shenzhen,Japan,Osaka,General Cargo,10058.33,Greece
209888000,2023-12-31 23:59:08,36.10387,-75.11562,17.6,156.9,156.0,CAPE ALTIUS,IMO9848730,5BLF5,70,0.0,186.0,35.0,8.5,70.0,A,Cargo,"Cargo, all ships of this type",USA,Houston,Singapore,Jurong,General Cargo,19500.0,Japan
209933000,2023-12-31 23:59:18,29.88057,-89.906,0.0,359.6,15.0,UBC SAGUNTO,IMO9426867,5BBF3,70,1.0,171.0,28.0,10.6,79.0,A,Cargo,"Cargo, all ships of this type",Netherlands,Rotterdam,USA,Corpus Christi,General Cargo,14075.07,Malta
209997000,2023-12-31 05:35:00,27.27261,-91.99207,19.4,136.7,136.0,GAIL BHUWAN,IMO9877145,5BNK5,81,0.0,298.0,48.0,11.4,81.0,A,Other,"Tanker, hazardous category A",Netherlands,Rotterdam,USA,Seattle,General Cargo,100.0,Panama
210000000,2023-12-31 23:57:23,30.80773,-81.52494,0.0,166.3,511.0,AMORA SANTOS I,IMO0000000,,52,,0.0,0.0,,,B,Other,Tug,China,Tianjin,USA,Los Angeles,General Cargo,100.0,Hong Kong
210106000,2023-12-31 11:21:33,24.45848,-89.19227,1.8,182.5,76.0,VIRGEN DE LA AURORA,IMO9667930,5BQG5,80,0.0,183.0,32.0,7.9,80.0,A,Tanker,"Tanker, all ships of this type",USA,Mobile,Saudi Arabia,Jeddah,Petroleum Products,91405.95,Panama
210107000,2023-12-31 16:29:41,25.38535,-88.0749,1.0,39.0,215.0,VIRGEN DEL QUINCHE,IMO9568031,5BQJ5,89,0.0,180.0,32.0,8.0,89.0,A,Other,"Tanker, no additional information",USA,Houston,Japan,Kobe,General Cargo,100.0,Japan
210185000,2023-12-31 23:57:03,38.04299,-122.13213,0.0,238.8,234.0,ATLANTIS TRADE,IMO9620994,5BTY3,70,5.0,189.0,28.0,10.5,70.0,A,Cargo,"Cargo, all ships of this type",USA,New York,China,Ningbo-Zhoushan,General Cargo,17764.75,Hong Kong
210478000,2023-12-31 23:59:03,18.87668,-65.97919,1.2,238.1,136.0,TITAN UNIKUM,IMO9468437,5BEV6,80,8.0,153.0,20.0,8.2,81.0,A,Tanker,"Tanker, all ships of this type",Russia,Novorossiysk,UAE,Abu Dhabi,Crude Oil,101408.53,Hong Kong
210499000,2023-12-31 23:54:39,30.08458,-85.80523,0.0,229.0,182.0,PIA,IMO9113202,5BBR6,70,1.0,100.0,17.0,5.9,70.0,A,Cargo,"Cargo, all ships of this type",Japan,Nagoya,Singapore,Jurong,General Cargo,14617.64,Marshall Islands
210565000,2023-12-31 06:05:05,15.21201,-66.29752,11.1,136.0,133.0,ASIAN TRADER,IMO9245689,P3LC9,70,0.0,147.0,23.0,8.5,70.0,A,Cargo,"Cargo, all ships of this type",Singapore,Jurong,USA,South Louisiana,General Cargo,13951.18,Hong Kong
210568000,2023-12-31 14:18:50,18.32363,-69.65328,0.9,175.6,272.0,ELBRUNNER,IMO9395563,5BDV6,79,0.0,139.0,22.0,4.8,79.0,A,Tanker,"Cargo, no additional information",USA,Oakland,Saudi Arabia,Jeddah,Fuel Oil,78238.04,Marshall Islands
210602000,2023-12-31 23:23:21,44.86147,-127.4936,9.9,341.2,348.0,ORIENTAL TOPAZ,IMO9316971,C4NB2,70,0.0,134.0,23.0,8.5,70.0,A,Cargo,"Cargo, all ships of this type",USA,Charleston,Japan,Osaka,General Cargo,17469.56,Bahamas
210614000,2023-12-31 23:57:03,36.96278,-76.42414,0.0,132.7,39.0,CYMONA PROGRESS,IMO9602435,5BSF4,70,5.0,228.0,32.0,14.4,70.0,A,Cargo,"Cargo, all ships of this type",Japan,Kobe,China,Guangzhou,General Cargo,13587.7,Liberia
210737000,2023-12-31 23:57:52,49.30128,-123.08307,0.0,308.0,87.0,ANASTASIA,IMO9292618,C4FP2,70,1.0,225.0,32.0,14.2,70.0,A,Cargo,"Cargo, all ships of this type",Japan,Tokyo,Singapore,Singapore,General Cargo,21503.27,Panama
211155620,2023-12-31 23:54:39,18.34505,-64.79105,0.2,360.0,511.0,MANANA,IMO0000000,DC3881,37,,13.0,8.0,,,B,Pleasure Craft/Sailing,Pleasure Craft,Japan,Nagoya,USA,Houston,General Cargo,0.65,Japan
211235543,2023-12-31 23:59:03,39.97989,-74.902,0.0,0.0,511.0,CGSAIL_SINS2AIS,,SINSAIS,55,7.0,198.0,20.0,0.0,55.0,A,Passenger,Law Enforcement,Singapore,Singapore,Netherlands,Rotterdam,General Cargo,550.98,Panama
211274400,2023-12-31 23:58:12,18.60913,-65.19089,5.6,284.7,285.0,SY SIMA,IMO0000000,DF3530,36,,13.0,4.0,,,B,Pleasure Craft/Sailing,Sailing,Japan,Tokyo,Netherlands,Rotterdam,General Cargo,1.18,Bahamas
211779740,2023-12-31 02:14:49,37.81537,-122.36665,0.3,91.9,511.0,FEROX,IMO0000000,,36,,11.0,4.0,,,B,Pleasure Craft/Sailing,Sailing,Japan,Nagoya,USA,Houston,General Cargo,0.61,Bahamas
211781740,2023-12-31 23:57:42,18.45879,-66.08842,0.1,346.5,511.0,LASAVO,IMO0000000,DJ9418,36,,15.0,8.0,,,B,Pleasure Craft/Sailing,Sailing,China,Guangzhou,USA,Mobile,General Cargo,0.17,Panama
212370000,2023-12-31 23:56:04,28.66266,-86.43877,10.1,201.0,201.0,JUAN DIEGO,IMO9189574,5BEC4,70,0.0,99.0,16.0,5.9,70.0,A,Cargo,"Cargo, all ships of this type",Japan,Kobe,China,Ningbo-Zhoushan,General Cargo,13957.52,Other
212482000,2023-12-31 23:01:42,46.8126,-125.70246,11.3,304.1,306.0,MACHERAS,IMO9698850,5BEA4,70,0.0,229.0,32.0,14.5,70.0,A,Cargo,"Cargo, all ships of this type",Netherlands,Rotterdam,USA,Los Angeles,General Cargo,17844.16,Bahamas
212656000,2023-12-31 23:58:17,49.2904,-122.86828,0.0,321.1,321.0,PANAGIA THALASSINI,IMO9730335,5BNP4,80,5.0,,,,80.0,A,Tanker,"Tanker, all ships of this type",UAE,Dubai,Saudi Arabia,Dammam,Crude Oil,105507.37,Bahamas
212719000,2023-12-31 23:58:53,34.52696,-120.94373,10.2,328.2,322.0,TROODOS SUN,IMO9698238,5BKB4,70,0.0,228.0,35.0,12.5,70.0,A,Cargo,"Cargo, all ships of this type",Singapore,Singapore,Netherlands,Rotterdam,General Cargo,32334.5,Marshall Islands
212775000,2023-12-31 23:57:05,46.12407,-122.98739,0.0,244.0,154.0,ANIMA,IMO9500584,5BQG4,70,1.0,189.0,32.0,12.7,70.0,A,Cargo,"Cargo, all ships of this type",Singapore,Singapore,USA,Miami,General Cargo,14903.22,Liberia
215000473,2023-12-31 22:21:41,25.93441,-80.1352,0.1,360.0,511.0,CLAREMONT M/Y,IMO0000000,9HB5304,37,,22.0,6.0,0.0,37.0,B,Pleasure Craft/Sailing,Pleasure Craft,Singapore,Singapore,China,Dalian,General Cargo,0.46,Panama
215126000,2023-12-31 23:59:01,39.6088,-73.40165,8.9,190.7,193.0,CMA CGM T.JEFFERSON,IMO9780861,9HA4970,71,0.0,366.0,48.0,13.3,71.0,A,Cargo,"Cargo, hazardous category A",Netherlands,Rotterdam,Japan,Nagoya,General Cargo,23028.6,Liberia
215137000,2023-12-31 13:24:48,39.99841,-67.81971,19.6,91.0,89.0,CMA CGM J. MADISON,IMO9780897,9HA4975,71,0.0,366.0,48.0,14.0,71.0,A,Cargo,"Cargo, hazardous category A",USA,South Louisiana,Singapore,Jurong,General Cargo,13548.75,Other
215139000,2023-12-31 13:17:01,25.74461,-91.52992,11.5,284.4,277.0,MACIEJ RATAJ,IMO8219322,9HEB7,70,0.0,195.0,25.0,10.7,70.0,A,Cargo,"Cargo, all ships of this type",USA,Beaumont,Singapore,Jurong,General Cargo,14632.71,Marshall Islands
215159000,2023-12-31 23:57:40,37.76152,-122.34782,0.0,65.6,150.0,CMA CGM SWORDFISH,IMO9331000,9HA4988,71,1.0,295.0,33.0,11.4,71.0,A,Cargo,"Cargo, hazardous category A",USA,Mobile,China,Shanghai,General Cargo,12998.59,Liberia
215193000,2023-12-31 23:59:59,37.924,-122.41249,0.0,324.1,324.0,GOLD POINT,IMO9506693,9HA2669,80,5.0,183.0,32.0,13.2,80.0,A,Tanker,"Tanker, all ships of this type",Saudi Arabia,Jeddah,USA,Savannah,Crude Oil,95772.56,Greece
215217000,2023-12-31 23:57:56,17.95821,-68.94389,19.0,121.2,120.0,CMA CGM AQUILA,IMO9410741,9HA5018,71,0.0,363.0,46.0,12.4,71.0,A,Cargo,"Cargo, hazardous category A",Singapore,Singapore,China,Hong Kong,General Cargo,15263.21,Japan
215360000,2023-12-31 12:24:15,17.88108,-62.84295,0.4,230.0,126.0,S/Y IRELANDA,,9H9699,36,0.0,32.0,8.0,3.6,36.0,A,Pleasure Craft/Sailing,Sailing,Singapore,Singapore,USA,Seattle,General Cargo,0.55,Other
215436000,2023-12-31 17:11:54,26.78068,-79.72044,18.6,4.6,14.0,JS INEOS INTREPID,IMO9685449,9HA5110,80,0.0,180.0,26.0,9.3,80.0,A,Tanker,"Tanker, all ships of this type",Saudi Arabia,Dammam,USA,Houston,Crude Oil,103660.65,Liberia
215464000,2023-12-31 03:43:38,24.92989,-90.80303,12.5,119.5,122.0,MISS MARIAROSARIA,IMO9528392,9HA2737,80,0.0,183.0,32.0,13.2,89.0,A,Tanker,"Tanker, all ships of this type",Saudi Arabia,Dammam,USA,Los Angeles,Crude Oil,95752.58,Other
215534000,2023-12-31 08:00:21,23.68162,-82.30413,16.5,263.6,261.0,AMBERJACK LNG,IMO9845776,9HA5163,84,0.0,299.0,46.0,9.7,84.0,A,Other,"Tanker, hazardous category D",Singapore,Singapore,Japan,Nagoya,General Cargo,100.0,Liberia
215561000,2023-12-31 23:59:37,36.74289,-75.60689,0.0,302.0,198.0,VIRGO,IMO9430765,9HA5181,71,1.0,265.0,32.0,11.1,71.0,A,Cargo,"Cargo, hazardous category A",Japan,Nagoya,Singapore,Singapore,General Cargo,20055.29,Panama
215651000,2023-12-31 23:34:17,16.57509,-67.01263,13.2,278.3,282.0,CMA CGM AMERICA,IMO9295971,9HA5226,70,0.0,269.0,32.0,8.9,70.0,A,Cargo,"Cargo, all ships of this type",Japan,Yokohama,USA,Houston,General Cargo,17155.46,Other
215668000,2023-12-31 21:18:06,15.76723,-157.13674,11.7,295.6,297.0,ARISTOS I,IMO9862891,9HA5241,80,0.0,299.0,46.0,9.5,80.0,A,Tanker,"Tanker, all ships of this type",Saudi Arabia,Yanbu,Russia,Novorossiysk,Crude Oil,95274.19,China
215726000,2023-12-31 23:59:23,27.81828,-97.20948,0.0,130.1,21.0,SPYROS,IMO9877171,9HA5261,80,5.0,274.0,48.0,9.5,80.0,A,Tanker,"Tanker, all ships of this type",UAE,Jebel Ali,Saudi Arabia,Jeddah,Petroleum Products,152259.06,Liberia
215765000,2023-12-31 23:58:35,36.87563,-76.34931,0.0,133.3,348.0,CMA CGM TENERE,IMO9859117,9HA5273,70,5.0,366.0,51.0,11.4,70.0,A,Cargo,"Cargo, all ships of this type",Netherlands,Amsterdam,Singapore,Singapore,General Cargo,15373.77,Marshall Islands
215785000,2023-12-31 12:04:05,25.94268,-91.06412,12.6,300.9,296.0,ATTALOS,IMO9862920,9HA5282,80,0.0,299.0,46.0,10.0,80.0,A,Tanker,"Tanker, all ships of this type",UAE,Abu Dhabi,USA,Beaumont,Crude Oil,92536.18,Panama
215796000,2023-12-31 01:43:35,15.48462,-67.06772,11.5,100.3,102.0,FATIH SULTAN MEHMET,IMO8308874,9HAW8,70,0.0,184.0,28.0,10.9,70.0,A,Cargo,"Cargo, all ships of this type",Japan,Osaka,Singapore,Jurong,General Cargo,13202.53,Bahamas
215797000,2023-12-31 23:59:33,37.70163,-76.17918,15.2,350.6,354.0,KONSTANTINA,IMO8906755,9HBG8,70,0.0,236.0,32.0,12.0,71.0,A,Cargo,"Cargo, all ships of this type",Netherlands,Rotterdam,USA,Savannah,General Cargo,10454.51,Hong Kong
215809000,2023-12-31 23:59:20,36.83889,-75.82158,9.9,122.6,121.0,ATLANTIC SAIL,IMO9670585,9HA5297,74,0.0,296.0,37.0,9.5,74.0,A,Tanker,"Cargo, hazardous category D",UAE,Abu Dhabi,Saudi Arabia,Jeddah,Crude Oil,157845.63,Japan
